Url,Image,Title,Price
https://ferebe.com/collections/beauty/products/living-proof-perfect-hair-day-heat-styling-spray-5-5fl-oz,ferebe.com/cdn/shop/files/Untitleddesign-2023-06-08T120632.039_200x.png?v=1686240536 ,Living Proof Perfect Hair Day Heat Styling Spray 5.5 fl oz,$19.99 
https://ferebe.com/collections/beauty/products/pantene-pro-v-classic-clean-shampoo-conditioner-375ml,ferebe.com/cdn/shop/products/Untitleddesign-2022-06-28T095435.713-905388_200x.png?v=1656470267 ,Pantene Pro-V Classic Clean Shampoo 375ml & Conditioner 355ml,$9.99 
https://ferebe.com/collections/beauty/products/bioelements-flash-foam-cleanser-192ml-6-5oz,ferebe.com/cdn/shop/products/kfs3gabm_202005281522523231-337185_200x.webp?v=1655344468 ,Bioelements Flash Foam Cleanser 6.5oz,$14.99 
https://ferebe.com/collections/beauty/products/sexy-hair-healthy-moisturizing-shampoo-conditioner-33-8fl-oz-duo,ferebe.com/cdn/shop/products/Untitleddesign-2022-06-14T132936.208-635350_200x.png?v=1655257477 ,Sexy Hair Healthy Moisturizing Shampoo & Conditioner 33.8 fl oz Duo,$29.99 
https://ferebe.com/collections/beauty/products/christophe-robin-hydrating-shampoo-with-aloe-vera-250-ml,ferebe.com/cdn/shop/products/61BJzsZFHiLSL1500_200x.jpg?v=1602761834 ,Christophe Robin Hydrating Shampoo with Aloe Vera 250ml,$19.99 
https://ferebe.com/collections/beauty/products/pureology-smooth-perfection-condition-250ml,/ferebe.com/cdn/shop/products/72af3385-f6fc-4277-98f7-7f19afe9cb49_1.91e1b5ecac5259594b443a09b7cc0923_200x.jpg?v=1624983230 ,Pureology Smooth Perfection Conditioner 8.5oz/250ml,$4.99 
https://ferebe.com/collections/beauty/products/hair-academy-color-care-shampoo-with-pump-900ml-pack-of-2,/ferebe.com/cdn/shop/products/Untitleddesign-2021-11-16T133610.316-581554_200x.png?v=1647384398 ,Hair Academy Colour Care Shampoo For Dry And Coloured Hair With Pump 30.4oz/900ml - Pack of 2,$6.99 
https://ferebe.com/collections/beauty/products/hair-academy-volumising-shampoo-with-pump-900ml-pack-of-2,/ferebe.com/cdn/shop/products/Untitleddesign-2021-11-16T134237.383-599559_200x.png?v=1647384392 ,Hair Academy Volumising Shampoo For Fine Or Flat Hair With Pump 30.4oz/900ml - Pack of 2,$6.99 
https://ferebe.com/collections/beauty/products/tropic-isle-black-castrol-oil-original-2oz,ferebe.com/cdn/shop/products/Tropic-Isle-Living-Jamaican-Black-Castor-Oil-2oz_cefc7bbe-5ac6-4af8-818a-4c6970e21cd7-865617_200x.webp?v=1648163751 ,Tropic Isle Original Jamaican Black Castrol Oil 2oz,$1.99 
https://ferebe.com/collections/beauty/products/lashfood-phyto-medic-eyelash-enhancing-serum-3ml,/ferebe.com/cdn/shop/products/N1025_clipped_rev_1_large_1d0fdf9e-8a99-4ab1-8d0f-5450572188d3_200x.jpg?v=1635172739 ,"LashFood Phyto-Medic, Eyelash Enhancing Serum 0.10oz/3ml",$35.99 
https://ferebe.com/collections/beauty/products/becca-collectors-edition-celebration-of-glow-loose-glow-powder,ferebe.com/cdn/shop/products/81rnkOqHerLSL1500-574260_200x.jpg?v=1647383659 ,Becca Collector's Edition - Celebration of Glow Loose Glow Powder (Champagne Pop Dust Highlighter),$15.99 
https://ferebe.com/collections/beauty/products/pure-brazilian-anti-frizz-shampoo-13-5fl-oz,ferebe.com/cdn/shop/files/Anti-Frizz-Daily-Shampoo_530x_2x_75024f42-86fc-4406-8629-5dc90ca908bf_200x.webp?v=1686234560 ,Pure Brazilian Anti Frizz Shampoo 13.5 fl oz,$10.99 
https://ferebe.com/collections/beauty/products/wet-brush-speed-dry-detangler-sky,ferebe.com/cdn/shop/products/61rNtF1OkaL_1_200x.jpg?v=1682014843 ,Wet Brush Speed Dry Detangler Sky,$2.99 
https://ferebe.com/collections/beauty/products/wet-brush-speed-dry-detangler-black,ferebe.com/cdn/shop/products/51-41PwhoRL_200x.jpg?v=1677863402 ,Wet Brush Speed Dry Detangler Black,$2.99 
https://ferebe.com/collections/beauty/products/shea-moisture-beard-conditioning-oil-3-2oz,ferebe.com/cdn/shop/products/a6c3a269-a3c5-4c08-af5a-bc80c0b2b04d.ae98759254812331c87d4f2a0f429642-676648_200x.jpg?v=1666853148 ,Shea Moisture Beard Conditioning Oil 3.2oz,$4.99 
https://ferebe.com/collections/beauty/products/manic-panic-voodoo-blue-amplified-4-oz,ferebe.com/cdn/shop/products/81bmiwj9-_L._AC_SS450_200x.jpg?v=1617388574 ,Manic Panic Voodoo Blue Amplified Cream Formula - 4oz,$10.99 
https://ferebe.com/collections/beauty/products/american-crew-grooming-cream-3-0oz,ferebe.com/cdn/shop/products/51dGeZ2LsdL._SL1024-927418_200x.jpg?v=1647383565 ,American Crew Grooming Cream 3oz,$5.99 
https://ferebe.com/collections/beauty/products/fanola-after-color-conditioner-350ml,ferebe.com/cdn/shop/products/51o0nIw3I1L._SL1500_200x.jpg?v=1620841444 ,Fanola After Colour Conditioner 11.83oz,$3.99 
https://ferebe.com/collections/beauty/products/bio-ionic-onepass-styling-iron-1,ferebe.com/cdn/shop/products/51oE2VNOx1S._SL1500_200x.jpg?v=1630946365 ,"Bio Ionic Onepass Styling Iron 1""",$149.99 
https://ferebe.com/collections/beauty/products/shea-moisture-jamaican-black-castor-oil-masque-treatment-12-fl-oz,ferebe.com/cdn/shop/products/71tPFM5lhkL._SL1500_200x.jpg?v=1639600460 ,Shea Moisture Jamaican Black Castor Oil Strengthen & Restore Masque Treatment 12oz,$5.99 
https://ferebe.com/collections/beauty/products/amika-normcore-signature-shampoo-conditioner-1l-33-8fl-oz,/ferebe.com/cdn/shop/files/Untitleddesign-2023-08-30T115015.047_200x.png?v=1693410702 ,Amika Normcore Signature Shampoo & Conditioner Duo 33.8oz/1L,$90.99 
https://ferebe.com/collections/beauty/products/amika-color-lock-leave-in-conditioner-spray,ferebe.com/cdn/shop/files/amika_220314_PDP_Color_Collection_Vault_Leave-in_Conditioner_200ml_2967-RGB-trans-shadow-2000x2000_200x.webp?v=1693336525 ,Amika Color-Lock Leave-In Conditioner Spray 6.7 fl oz,$20.99 
https://ferebe.com/collections/beauty/products/julep-beauty-skip-the-brush-cream-blush-golden-guava,ferebe.com/cdn/shop/files/716cTTGBunL._SL1500_200x.jpg?v=1684511440 ,"Julep Beauty Skip The Brush Cream Blush, Golden Guava",$13.99 
https://ferebe.com/collections/beauty/products/revlon-colorsilk-beautiful-permanent-hair-color-31-dark-auburn-pack-of-3,ferebe.com/cdn/shop/products/Untitleddesign-2022-06-28T132120.672-532379_200x.png?v=1656470390 ,"Revlon Colorsilk Beautiful Color Permanent Hair Dye With Keratin, Ammonia Free, 31 Dark Auburn (Pack of 3)",$4.99 
https://ferebe.com/collections/beauty/products/christophe-robin-shade-variation-nutritive-mask-with-temporary-coloring-250-ml,ferebe.com/cdn/shop/products/81sL2arys4LSL1500-829732_200x.jpg?v=1647383795 ,Christophe Robin Shade Variation Nutritive Mask With Temporary Coloring Baby Blond 250ml,$29.99 
https://ferebe.com/collections/beauty/products/bio-ionic-stylewinder-prorotating-styling-iron-1-5,ferebe.com/cdn/shop/products/61ZCs-7CQXS._SL1500_200x.jpg?v=1630947263 ,"Bio Ionic Stylewinder Pro-Rotating Styling Iron 1.5""",$105.99 
https://ferebe.com/collections/beauty/products/moroccanoil-moisture-repair-shampoo-70ml-2-4oz,/ferebe.com/cdn/shop/products/02c76796-7cfc-497e-b4a8-0e7435cfd53c_1.c65844d8f91ff3bac10ff503c7de7a7d-449924_200x.jpg?v=1647384794 ,Moroccanoil Moisture Repair Shampoo 2.4oz/70ml,$5.99 
